epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.8065,1.71056,2.89815,1.75145,0.34142,0.23308,0.18134,0.07952,2.13875,4.37217,1.93095,0.000332621,0.000332621,0.0670705
2,115.283,1.6928,2.46791,1.75632,0.41184,0.22801,0.22181,0.09399,2.1152,5.84965,1.98524,0.000665304,0.000665304,0.0340699
3,170.023,1.67997,2.38752,1.75551,0.4055,0.29001,0.25657,0.11896,2.04251,2.58888,1.88624,0.000995387,0.000995387,0.00106661
4,223.38,1.65454,2.30202,1.73062,0.46949,0.27235,0.27042,0.12704,1.94608,2.36445,1.73296,0.000991232,0.000991232,0.000991232
5,278.229,1.6466,2.25,1.70973,0.45519,0.29618,0.28222,0.13734,1.96237,2.37407,1.79175,0.000984449,0.000984449,0.000984449
6,328.747,1.60061,2.20098,1.68275,0.53264,0.30404,0.29153,0.14583,1.87358,2.45373,1.70876,0.000975773,0.000975773,0.000975773
7,379.369,1.59072,2.14583,1.6727,0.4802,0.30091,0.30106,0.1415,1.87441,2.66426,1.67122,0.000965239,0.000965239,0.000965239
8,428.567,1.56202,2.10237,1.64671,0.48516,0.32514,0.30901,0.16072,1.81343,3.06667,1.62589,0.000952889,0.000952889,0.000952889
9,476.835,1.55914,2.06894,1.63834,0.47778,0.31087,0.30143,0.15484,1.83868,2.74571,1.68687,0.000938772,0.000938772,0.000938772
10,525.663,1.53737,2.04092,1.62386,0.47213,0.35232,0.3213,0.16859,1.7633,2.03555,1.57119,0.000922942,0.000922942,0.000922942
11,574.635,1.52799,2.02985,1.61281,0.42178,0.35343,0.34456,0.18424,1.74933,2.49676,1.55857,0.000905463,0.000905463,0.000905463
12,623.324,1.49982,1.97602,1.57982,0.48802,0.35011,0.34165,0.18672,1.69445,2.35201,1.5167,0.000886404,0.000886404,0.000886404
13,674.755,1.49851,1.97212,1.58858,0.51742,0.31956,0.33316,0.1814,1.74923,2.13575,1.61406,0.000865839,0.000865839,0.000865839
14,723.642,1.49743,1.93689,1.57843,0.53663,0.36191,0.35515,0.19934,1.65474,2.11882,1.52929,0.000843851,0.000843851,0.000843851
15,773.012,1.47486,1.90202,1.5642,0.48466,0.36911,0.35404,0.19475,1.71067,2.34451,1.55788,0.000820525,0.000820525,0.000820525
16,822.574,1.46919,1.9109,1.56165,0.50137,0.34517,0.3454,0.19061,1.66495,1.96472,1.50551,0.000795954,0.000795954,0.000795954
17,871.745,1.45831,1.88607,1.54944,0.53133,0.36192,0.36661,0.21068,1.59549,2.00334,1.47304,0.000770234,0.000770234,0.000770234
18,920.09,1.44791,1.87236,1.55047,0.4257,0.3705,0.37051,0.21093,1.64484,1.99595,1.50732,0.000743468,0.000743468,0.000743468
19,968.555,1.44257,1.84444,1.53673,0.425,0.37452,0.36784,0.20672,1.62355,2.22746,1.48534,0.000715761,0.000715761,0.000715761
20,1017.68,1.44172,1.82563,1.53992,0.51042,0.37564,0.36624,0.21104,1.61286,2.50364,1.4871,0.000687222,0.000687222,0.000687222
21,1066.5,1.42247,1.78261,1.52269,0.53081,0.38929,0.39213,0.22894,1.57729,1.80447,1.44157,0.000657963,0.000657963,0.000657963
