epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.957,1.66324,3.07221,1.93905,0.26564,0.23377,0.16816,0.06598,2.09814,2.82739,2.22476,0.000199538,0.000199538,0.0802457
2,185.924,1.63943,2.60889,1.9125,0.4042,0.25972,0.22004,0.10351,1.84534,2.27566,1.94816,0.000395583,0.000395583,0.0604418
3,256.762,1.6083,2.50169,1.89867,0.47002,0.26282,0.25816,0.11446,1.95486,2.34097,2.10989,0.000587667,0.000587667,0.0406339
4,326.31,1.60275,2.42073,1.87431,0.36407,0.27165,0.23898,0.10349,1.88008,2.45185,2.04626,0.000775792,0.000775792,0.020822
5,396.681,1.58853,2.38021,1.87267,0.36632,0.2913,0.27188,0.12593,1.84357,2.14467,1.98708,0.000959956,0.000959956,0.00100615
6,465.735,1.57613,2.35905,1.86205,0.3488,0.28013,0.26114,0.11743,1.96047,2.27142,2.11969,0.0009505,0.0009505,0.0009505
7,535.096,1.55527,2.32681,1.8383,0.39104,0.29952,0.27753,0.12404,1.8643,2.15029,1.97037,0.0009406,0.0009406,0.0009406
8,604.033,1.53066,2.25769,1.8089,0.3933,0.3292,0.31442,0.15327,1.76894,2.03359,1.89811,0.0009307,0.0009307,0.0009307
9,673.561,1.51972,2.22564,1.80076,0.42208,0.3517,0.3293,0.16157,1.82037,1.96225,1.93729,0.0009208,0.0009208,0.0009208
10,742.87,1.5058,2.17267,1.77935,0.40908,0.3558,0.32901,0.16559,1.74054,1.94449,1.886,0.0009109,0.0009109,0.0009109
11,812.084,1.50322,2.18002,1.77346,0.41594,0.37482,0.35313,0.18493,1.68335,1.94156,1.82962,0.000901,0.000901,0.000901
12,881.26,1.4825,2.12746,1.75455,0.45723,0.362,0.35982,0.19277,1.68798,1.84104,1.83842,0.0008911,0.0008911,0.0008911
13,950.991,1.47356,2.11626,1.74682,0.4387,0.35353,0.36439,0.19332,1.67537,1.80446,1.81303,0.0008812,0.0008812,0.0008812
14,1020.17,1.47377,2.08301,1.74047,0.43804,0.40422,0.3884,0.20655,1.65929,1.72927,1.79043,0.0008713,0.0008713,0.0008713
15,1089.22,1.4557,2.06223,1.73228,0.43018,0.37855,0.35722,0.18922,1.63534,1.80782,1.78693,0.0008614,0.0008614,0.0008614
16,1158.81,1.45404,2.0509,1.72203,0.46135,0.39313,0.39208,0.21363,1.60123,1.69974,1.73748,0.0008515,0.0008515,0.0008515
17,1227.94,1.45146,2.02934,1.72013,0.45201,0.37163,0.37974,0.20453,1.64274,1.74952,1.77761,0.0008416,0.0008416,0.0008416
18,1297.27,1.43514,2.01626,1.7088,0.46227,0.38988,0.39083,0.21041,1.65195,1.74173,1.77317,0.0008317,0.0008317,0.0008317
19,1366.12,1.42599,1.99099,1.70011,0.47601,0.40761,0.4069,0.22301,1.59393,1.68964,1.73255,0.0008218,0.0008218,0.0008218
20,1436.1,1.4273,1.97645,1.70609,0.49629,0.38479,0.41008,0.22608,1.56112,1.68709,1.70403,0.0008119,0.0008119,0.0008119
21,1505.67,1.41643,1.93403,1.67979,0.46713,0.39725,0.40215,0.22317,1.55939,1.65465,1.68947,0.000802,0.000802,0.000802
22,1574.62,1.40841,1.93743,1.67957,0.45687,0.39943,0.40447,0.22343,1.59285,1.64932,1.71169,0.0007921,0.0007921,0.0007921
23,1643.49,1.40461,1.9315,1.6812,0.46201,0.4027,0.40253,0.2171,1.62696,1.72227,1.77834,0.0007822,0.0007822,0.0007822
24,1712.89,1.40056,1.91565,1.6776,0.47185,0.4121,0.41523,0.23342,1.56527,1.60859,1.69875,0.0007723,0.0007723,0.0007723
25,1782.19,1.38238,1.90149,1.6635,0.48322,0.43339,0.43228,0.24503,1.53732,1.58791,1.67821,0.0007624,0.0007624,0.0007624
26,1851.61,1.39306,1.89402,1.66692,0.47539,0.43282,0.42537,0.23879,1.56714,1.62104,1.70473,0.0007525,0.0007525,0.0007525
27,1920.71,1.39395,1.8832,1.65817,0.4831,0.43298,0.42289,0.2383,1.57141,1.65821,1.70825,0.0007426,0.0007426,0.0007426
28,1990.31,1.38395,1.86197,1.65245,0.4761,0.42721,0.43065,0.2428,1.59395,1.67895,1.73699,0.0007327,0.0007327,0.0007327
29,2059.54,1.37751,1.858,1.65263,0.47261,0.45274,0.44458,0.2535,1.51043,1.58733,1.66166,0.0007228,0.0007228,0.0007228
30,2128.91,1.38148,1.84599,1.65296,0.48343,0.43839,0.44034,0.25051,1.52598,1.56838,1.68102,0.0007129,0.0007129,0.0007129
31,2197.95,1.38081,1.84716,1.65269,0.49309,0.43632,0.44729,0.25408,1.53115,1.55116,1.67588,0.000703,0.000703,0.000703
32,2267.17,1.36217,1.8315,1.63643,0.51482,0.43643,0.45174,0.2586,1.51427,1.51296,1.6659,0.0006931,0.0006931,0.0006931
33,2336.68,1.35863,1.81731,1.64059,0.50175,0.44654,0.45322,0.26531,1.50432,1.53743,1.66138,0.0006832,0.0006832,0.0006832
34,2405.64,1.35106,1.79368,1.62702,0.50041,0.45013,0.44475,0.25664,1.51709,1.52699,1.66343,0.0006733,0.0006733,0.0006733
35,2474.2,1.36215,1.79852,1.63215,0.51286,0.44534,0.46255,0.26719,1.51918,1.50358,1.65802,0.0006634,0.0006634,0.0006634
36,2542.78,1.34384,1.79071,1.62923,0.50946,0.44367,0.45743,0.26575,1.50958,1.50523,1.65716,0.0006535,0.0006535,0.0006535
37,2612.52,1.34678,1.78256,1.62399,0.50873,0.45306,0.45425,0.26307,1.50452,1.50997,1.63771,0.0006436,0.0006436,0.0006436
38,2681.72,1.3403,1.77307,1.61887,0.50732,0.44307,0.4571,0.26225,1.50152,1.51418,1.64502,0.0006337,0.0006337,0.0006337
39,2750.63,1.3492,1.77737,1.62931,0.51436,0.45787,0.47146,0.27375,1.50837,1.48469,1.6546,0.0006238,0.0006238,0.0006238
40,2818.94,1.34204,1.75164,1.61915,0.53963,0.44808,0.48093,0.27933,1.49235,1.47004,1.629,0.0006139,0.0006139,0.0006139
41,2887.35,1.32831,1.74891,1.59998,0.5328,0.46195,0.47937,0.2816,1.48023,1.45786,1.61425,0.000604,0.000604,0.000604
42,2955.7,1.3248,1.74747,1.61081,0.52275,0.44824,0.47369,0.27907,1.47499,1.45854,1.61653,0.0005941,0.0005941,0.0005941
43,3024.3,1.32718,1.73849,1.59946,0.53256,0.44392,0.4781,0.28109,1.4838,1.45431,1.62333,0.0005842,0.0005842,0.0005842
44,3092.52,1.32207,1.71313,1.59872,0.52618,0.45761,0.48011,0.283,1.48361,1.45277,1.62418,0.0005743,0.0005743,0.0005743
45,3161.1,1.31821,1.72335,1.59738,0.53992,0.43827,0.47322,0.28239,1.46832,1.44605,1.62315,0.0005644,0.0005644,0.0005644
46,3229.4,1.31614,1.69651,1.59239,0.52677,0.4519,0.47054,0.2773,1.47194,1.44592,1.62982,0.0005545,0.0005545,0.0005545
47,3297.71,1.31667,1.69945,1.5919,0.53598,0.46768,0.48862,0.28539,1.48408,1.43057,1.62172,0.0005446,0.0005446,0.0005446
48,3366.12,1.3143,1.69453,1.58869,0.55611,0.45384,0.49638,0.2954,1.45601,1.41367,1.59778,0.0005347,0.0005347,0.0005347
49,3434.42,1.29921,1.67078,1.57385,0.53337,0.4714,0.48568,0.2904,1.45645,1.43743,1.59701,0.0005248,0.0005248,0.0005248
50,3503.13,1.31097,1.67905,1.58448,0.54125,0.46175,0.49035,0.29373,1.45502,1.39834,1.61379,0.0005149,0.0005149,0.0005149
51,3571.49,1.29902,1.65824,1.57099,0.5102,0.4882,0.48818,0.29224,1.47707,1.41017,1.61672,0.000505,0.000505,0.000505
52,3639.91,1.29426,1.67075,1.57667,0.5383,0.46925,0.49633,0.29779,1.45242,1.41563,1.59552,0.0004951,0.0004951,0.0004951
53,3708.38,1.28882,1.64855,1.56914,0.54972,0.46193,0.49493,0.2989,1.44017,1.392,1.57852,0.0004852,0.0004852,0.0004852
54,3777.08,1.29105,1.6363,1.57306,0.57381,0.46073,0.50432,0.30488,1.43231,1.39501,1.58118,0.0004753,0.0004753,0.0004753
55,3845.41,1.28977,1.63608,1.5595,0.53612,0.46795,0.49848,0.29887,1.44708,1.41278,1.58921,0.0004654,0.0004654,0.0004654
