epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,3913.92,1.29003,1.62363,1.57146,0.5639,0.47449,0.5011,0.30393,1.44291,1.39343,1.58684,0.0004555,0.0004555,0.0004555
57,3982.3,1.2767,1.63143,1.56191,0.55435,0.46167,0.50481,0.30455,1.42093,1.39057,1.5695,0.0004456,0.0004456,0.0004456
58,4050.62,1.28388,1.62773,1.55943,0.57113,0.4688,0.50047,0.30064,1.44631,1.39366,1.58826,0.0004357,0.0004357,0.0004357
59,4119.09,1.27305,1.61996,1.55399,0.53991,0.48749,0.50494,0.30405,1.44864,1.38483,1.58319,0.0004258,0.0004258,0.0004258
60,4187.36,1.27091,1.60572,1.55062,0.55553,0.47988,0.51002,0.3095,1.43488,1.38917,1.57855,0.0004159,0.0004159,0.0004159
61,4255.73,1.26462,1.60031,1.54824,0.55556,0.48288,0.50954,0.30861,1.43403,1.37573,1.58068,0.000406,0.000406,0.000406
62,4324.06,1.26833,1.58711,1.55116,0.57496,0.4775,0.51866,0.3132,1.43503,1.37535,1.57698,0.0003961,0.0003961,0.0003961
63,4392.39,1.26442,1.57582,1.54112,0.54363,0.48901,0.50848,0.30814,1.42863,1.36265,1.57595,0.0003862,0.0003862,0.0003862
64,4460.98,1.26018,1.5886,1.54372,0.54509,0.49027,0.51151,0.30911,1.42664,1.36446,1.57341,0.0003763,0.0003763,0.0003763
65,4529.33,1.25756,1.57628,1.53878,0.54454,0.49133,0.51462,0.31524,1.42084,1.3517,1.56969,0.0003664,0.0003664,0.0003664
66,4597.81,1.2575,1.57841,1.5415,0.56415,0.47355,0.50976,0.31,1.42902,1.36706,1.57601,0.0003565,0.0003565,0.0003565
67,4666.22,1.24739,1.56886,1.5362,0.57015,0.4809,0.51565,0.31438,1.43399,1.35622,1.57825,0.0003466,0.0003466,0.0003466
68,4734.78,1.24392,1.56426,1.53622,0.57681,0.46593,0.51133,0.31035,1.42641,1.35227,1.57473,0.0003367,0.0003367,0.0003367
69,4803.12,1.23854,1.55518,1.52942,0.56478,0.47179,0.51432,0.31364,1.42209,1.3493,1.57492,0.0003268,0.0003268,0.0003268
70,4871.53,1.24466,1.54705,1.52935,0.55656,0.48686,0.5168,0.31268,1.41817,1.35038,1.57187,0.0003169,0.0003169,0.0003169
71,4939.79,1.2385,1.53648,1.52574,0.56981,0.49024,0.52271,0.31672,1.41418,1.34214,1.56161,0.000307,0.000307,0.000307
72,5008.32,1.23639,1.53311,1.52776,0.57521,0.49982,0.52362,0.3208,1.40589,1.3492,1.54916,0.0002971,0.0002971,0.0002971
73,5076.71,1.2356,1.51894,1.52104,0.5745,0.48008,0.51538,0.31242,1.40998,1.34691,1.55989,0.0002872,0.0002872,0.0002872
74,5145.12,1.22959,1.52006,1.52013,0.5541,0.48931,0.51911,0.31646,1.41213,1.33483,1.56247,0.0002773,0.0002773,0.0002773
75,5213.34,1.23094,1.50919,1.51704,0.55184,0.50497,0.52147,0.31817,1.4124,1.33259,1.55915,0.0002674,0.0002674,0.0002674
76,5281.81,1.21996,1.49393,1.51031,0.56412,0.49599,0.52427,0.32104,1.41546,1.32623,1.56201,0.0002575,0.0002575,0.0002575
77,5350.2,1.22558,1.5137,1.51897,0.58011,0.48224,0.52513,0.32076,1.41598,1.32267,1.56446,0.0002476,0.0002476,0.0002476
78,5418.33,1.22807,1.49329,1.51159,0.58085,0.49195,0.5299,0.32437,1.40863,1.3214,1.56326,0.0002377,0.0002377,0.0002377
79,5486.59,1.22471,1.49325,1.50887,0.57489,0.48983,0.52524,0.32039,1.41091,1.31933,1.55784,0.0002278,0.0002278,0.0002278
80,5554.75,1.21696,1.4943,1.50765,0.56428,0.49456,0.52862,0.32238,1.40955,1.31738,1.55578,0.0002179,0.0002179,0.0002179
81,5622.91,1.21908,1.49541,1.50305,0.56091,0.48984,0.52911,0.32473,1.40415,1.31816,1.55355,0.000208,0.000208,0.000208
82,5691.09,1.20176,1.48715,1.49707,0.54909,0.49935,0.52638,0.3259,1.39841,1.30913,1.54966,0.0001981,0.0001981,0.0001981
83,5759.38,1.20154,1.47261,1.49559,0.58075,0.47818,0.52787,0.3262,1.39907,1.31527,1.54762,0.0001882,0.0001882,0.0001882
84,5827.76,1.20208,1.46816,1.49614,0.57207,0.48854,0.52963,0.32622,1.39854,1.30786,1.54962,0.0001783,0.0001783,0.0001783
85,5896.15,1.20745,1.47212,1.49716,0.58282,0.47652,0.52599,0.32431,1.3981,1.30856,1.54766,0.0001684,0.0001684,0.0001684
86,5964.6,1.18962,1.46547,1.48481,0.55788,0.49558,0.52478,0.32417,1.4,1.30762,1.5484,0.0001585,0.0001585,0.0001585
87,6032.92,1.2031,1.4623,1.49526,0.55642,0.49853,0.52597,0.32604,1.40058,1.30815,1.55149,0.0001486,0.0001486,0.0001486
88,6101.18,1.19357,1.46147,1.48583,0.56151,0.49083,0.52947,0.32622,1.40619,1.3137,1.55724,0.0001387,0.0001387,0.0001387
89,6169.77,1.19663,1.45005,1.48359,0.57962,0.48002,0.52965,0.32797,1.40589,1.31663,1.55527,0.0001288,0.0001288,0.0001288
90,6238.05,1.19436,1.44194,1.48441,0.56666,0.49386,0.52933,0.32806,1.40227,1.3138,1.54873,0.0001189,0.0001189,0.0001189
91,6306.83,1.11573,1.22923,1.44126,0.56331,0.48506,0.52249,0.32129,1.40598,1.32133,1.55649,0.000109,0.000109,0.000109
92,6373.86,1.10156,1.20178,1.43147,0.55307,0.49526,0.52665,0.32575,1.40592,1.32067,1.55725,9.91e-05,9.91e-05,9.91e-05
93,6440.89,1.0947,1.17246,1.42752,0.56865,0.50077,0.52965,0.32704,1.40475,1.32421,1.55704,8.92e-05,8.92e-05,8.92e-05
94,6507.72,1.0911,1.15736,1.42361,0.57472,0.49899,0.53073,0.32841,1.40636,1.32543,1.55836,7.93e-05,7.93e-05,7.93e-05
95,6574.5,1.08122,1.16041,1.41583,0.58394,0.48719,0.53235,0.33031,1.40371,1.32306,1.5582,6.94e-05,6.94e-05,6.94e-05
96,6641.12,1.08361,1.15015,1.42105,0.56453,0.50541,0.53363,0.33118,1.40128,1.31942,1.55861,5.95e-05,5.95e-05,5.95e-05
97,6708.17,1.0719,1.13592,1.40995,0.57159,0.50308,0.53315,0.32988,1.39851,1.3152,1.55566,4.96e-05,4.96e-05,4.96e-05
98,6774.81,1.06514,1.13101,1.40546,0.57535,0.49514,0.5341,0.33075,1.39885,1.31292,1.55612,3.97e-05,3.97e-05,3.97e-05
99,6841.57,1.07139,1.12154,1.40895,0.57239,0.49898,0.53413,0.33148,1.39893,1.31019,1.55759,2.98e-05,2.98e-05,2.98e-05
100,6908.56,1.06494,1.11655,1.39738,0.56977,0.50383,0.53412,0.33201,1.39576,1.31008,1.55648,1.99e-05,1.99e-05,1.99e-05
