epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1468.55,1.20741,1.36132,1.34849,0.5932,0.46552,0.50946,0.31101,1.37742,1.22201,1.35073,0.000242783,0.000242783,0.000242783
43,1502.91,1.21183,1.37745,1.353,0.60007,0.472,0.50987,0.31115,1.37556,1.21999,1.35331,0.000233081,0.000233081,0.000233081
44,1537.37,1.20283,1.35564,1.34786,0.60837,0.45838,0.51185,0.31366,1.36978,1.22189,1.35163,0.000223409,0.000223409,0.000223409
45,1571.78,1.20644,1.37172,1.35581,0.60268,0.47029,0.51181,0.31422,1.37533,1.21806,1.34502,0.000213782,0.000213782,0.000213782
46,1606.05,1.20493,1.36476,1.348,0.5946,0.46826,0.5111,0.31351,1.36334,1.2125,1.33997,0.000204215,0.000204215,0.000204215
47,1640.55,1.20397,1.35784,1.34467,0.57629,0.46727,0.50804,0.31285,1.3588,1.22011,1.34168,0.000194722,0.000194722,0.000194722
48,1674.87,1.19782,1.34624,1.34309,0.60547,0.46577,0.51433,0.31471,1.35975,1.2196,1.33522,0.000185318,0.000185318,0.000185318
49,1709.34,1.19549,1.35359,1.34334,0.60587,0.45943,0.5125,0.31183,1.38477,1.21829,1.3555,0.000176018,0.000176018,0.000176018
50,1743.81,1.19307,1.35878,1.34732,0.58798,0.46391,0.5123,0.31519,1.36427,1.21308,1.34691,0.000166836,0.000166836,0.000166836
51,1778.16,1.20035,1.35034,1.34692,0.60776,0.47122,0.51669,0.31842,1.36839,1.21316,1.34227,0.000157786,0.000157786,0.000157786
52,1812.66,1.19479,1.34275,1.34214,0.57786,0.47729,0.51499,0.31625,1.37601,1.20827,1.34992,0.000148882,0.000148882,0.000148882
53,1847.24,1.18864,1.3447,1.33997,0.60463,0.46675,0.51453,0.31714,1.35926,1.21775,1.34133,0.000140137,0.000140137,0.000140137
54,1881.66,1.18988,1.34382,1.34361,0.57624,0.47803,0.51829,0.31747,1.36785,1.20361,1.34514,0.000131566,0.000131566,0.000131566
55,1916.15,1.19463,1.33155,1.33909,0.6026,0.46376,0.51081,0.31566,1.36938,1.21068,1.3451,0.000123182,0.000123182,0.000123182
56,1950.64,1.18537,1.32515,1.33602,0.58651,0.48017,0.51418,0.31782,1.35787,1.20298,1.34186,0.000114996,0.000114996,0.000114996
57,1984.96,1.1828,1.32544,1.33916,0.61377,0.46461,0.51609,0.31802,1.36464,1.21576,1.35027,0.000107023,0.000107023,0.000107023
58,2019.47,1.18186,1.33317,1.3332,0.5961,0.48169,0.519,0.31748,1.3641,1.20457,1.34707,9.92742e-05,9.92742e-05,9.92742e-05
59,2053.82,1.18314,1.32759,1.33631,0.60695,0.46604,0.51423,0.31632,1.36424,1.20894,1.34693,9.17616e-05,9.17616e-05,9.17616e-05
60,2088.14,1.18421,1.31834,1.33436,0.59048,0.47132,0.51213,0.31665,1.35885,1.20137,1.33915,8.44968e-05,8.44968e-05,8.44968e-05
61,2122.45,1.16932,1.30774,1.32351,0.59689,0.4716,0.51864,0.31921,1.36015,1.20292,1.34408,7.74911e-05,7.74911e-05,7.74911e-05
62,2156.84,1.1813,1.31649,1.32976,0.61432,0.46172,0.52127,0.32242,1.36064,1.19793,1.34127,7.07552e-05,7.07552e-05,7.07552e-05
63,2191.24,1.17429,1.31131,1.3245,0.6129,0.4629,0.51661,0.32012,1.35641,1.2003,1.33905,6.42995e-05,6.42995e-05,6.42995e-05
64,2225.81,1.17263,1.32538,1.33262,0.59958,0.47633,0.51699,0.3202,1.36448,1.20006,1.34686,5.81341e-05,5.81341e-05,5.81341e-05
65,2260.35,1.17463,1.3102,1.32733,0.604,0.47377,0.51528,0.31934,1.36111,1.201,1.33957,5.22683e-05,5.22683e-05,5.22683e-05
66,2294.66,1.17298,1.29683,1.3201,0.61206,0.46656,0.51787,0.32085,1.3614,1.19898,1.33979,4.67113e-05,4.67113e-05,4.67113e-05
67,2329.06,1.17664,1.30823,1.32647,0.60999,0.46878,0.51842,0.32072,1.35692,1.19486,1.33789,4.14716e-05,4.14716e-05,4.14716e-05
68,2363.58,1.17057,1.31583,1.32856,0.61179,0.46899,0.518,0.32111,1.35148,1.19523,1.33439,3.65572e-05,3.65572e-05,3.65572e-05
69,2398.2,1.17008,1.29634,1.32697,0.60784,0.46918,0.5175,0.32065,1.35197,1.19583,1.3348,3.19759e-05,3.19759e-05,3.19759e-05
70,2432.43,1.175,1.30017,1.32864,0.61741,0.46217,0.51975,0.32174,1.35171,1.19487,1.33651,2.77346e-05,2.77346e-05,2.77346e-05
71,2468.41,1.10908,1.15539,1.29315,0.5973,0.45572,0.50453,0.30653,1.39059,1.21995,1.37002,2.38398e-05,2.38398e-05,2.38398e-05
72,2501.68,1.09138,1.11309,1.2713,0.60592,0.45557,0.50559,0.31041,1.3825,1.2114,1.36374,2.02976e-05,2.02976e-05,2.02976e-05
73,2534.99,1.09408,1.10629,1.27401,0.60567,0.45906,0.51011,0.31246,1.37328,1.20886,1.35819,1.71135e-05,1.71135e-05,1.71135e-05
74,2568.26,1.08497,1.09977,1.27075,0.62078,0.45695,0.51228,0.31372,1.37205,1.20406,1.35704,1.42923e-05,1.42923e-05,1.42923e-05
75,2601.64,1.07922,1.09096,1.26959,0.60962,0.46223,0.51269,0.31528,1.36848,1.20335,1.35366,1.18384e-05,1.18384e-05,1.18384e-05
76,2635.07,1.08146,1.08836,1.27019,0.6229,0.45897,0.51422,0.3155,1.36773,1.20316,1.35431,9.75564e-06,9.75564e-06,9.75564e-06
77,2668.25,1.07359,1.07779,1.2628,0.61724,0.4632,0.51482,0.31622,1.3681,1.20103,1.35322,8.04714e-06,8.04714e-06,8.04714e-06
78,2701.71,1.07379,1.092,1.2679,0.60592,0.46671,0.51286,0.31559,1.36745,1.20249,1.35406,6.71556e-06,6.71556e-06,6.71556e-06
79,2734.99,1.07612,1.08929,1.27003,0.61172,0.46223,0.51377,0.3162,1.36633,1.19984,1.35335,5.76296e-06,5.76296e-06,5.76296e-06
80,2768.34,1.07115,1.08077,1.26787,0.60979,0.46323,0.51658,0.31688,1.36381,1.19969,1.35213,5.19081e-06,5.19081e-06,5.19081e-06
