epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.3118,1.41169,1.8025,1.50909,0.50427,0.37635,0.37602,0.21616,1.49288,1.63009,1.41763,0.000332272,0.000332272,0.0671051
2,75.8769,1.40776,1.7545,1.49667,0.45905,0.38735,0.39415,0.21958,1.51302,1.52627,1.4481,0.000665154,0.000665154,0.0341046
3,109.614,1.41731,1.77119,1.51145,0.45661,0.38985,0.39535,0.22824,1.45169,1.49207,1.40734,0.00099623,0.00099623,0.00110239
4,143.28,1.42046,1.76341,1.50913,0.50434,0.38912,0.408,0.22962,1.53565,1.53162,1.45648,0.000993906,0.000993906,0.000993906
5,176.834,1.42321,1.76843,1.51021,0.50609,0.39142,0.41081,0.23801,1.48353,1.46891,1.42993,0.000989183,0.000989183,0.000989183
6,210.44,1.41616,1.74522,1.5045,0.48465,0.41307,0.41172,0.23154,1.52891,1.50716,1.48752,0.000983133,0.000983133,0.000983133
7,244.049,1.41606,1.73957,1.50933,0.44211,0.38392,0.37712,0.20999,1.51328,1.62287,1.45501,0.000975773,0.000975773,0.000975773
8,277.443,1.41974,1.71798,1.50705,0.47377,0.40341,0.4116,0.23487,1.51255,1.47197,1.4326,0.000967122,0.000967122,0.000967122
9,310.955,1.41194,1.71271,1.49482,0.46639,0.41615,0.41313,0.23241,1.52237,1.50375,1.47512,0.000957205,0.000957205,0.000957205
10,344.601,1.3919,1.6907,1.48905,0.50148,0.40423,0.41435,0.23708,1.4986,1.49178,1.41625,0.000946048,0.000946048,0.000946048
11,378.13,1.39684,1.68295,1.48843,0.4896,0.41266,0.42193,0.23973,1.52808,1.4486,1.45455,0.000933683,0.000933683,0.000933683
12,411.673,1.39316,1.68776,1.48671,0.52465,0.4086,0.4312,0.24619,1.49773,1.43312,1.43059,0.000920142,0.000920142,0.000920142
13,445.176,1.38856,1.68619,1.48105,0.50302,0.42764,0.43552,0.24614,1.50764,1.42589,1.44185,0.000905463,0.000905463,0.000905463
14,478.784,1.3978,1.686,1.47894,0.51935,0.43468,0.4421,0.25413,1.48356,1.4307,1.42571,0.000889687,0.000889687,0.000889687
15,512.137,1.37595,1.65538,1.47414,0.5279,0.41995,0.44434,0.25744,1.46698,1.45694,1.41015,0.000872857,0.000872857,0.000872857
16,545.601,1.39007,1.67177,1.47393,0.49762,0.43408,0.44411,0.26033,1.48647,1.45416,1.43106,0.000855018,0.000855018,0.000855018
17,579.235,1.37355,1.65736,1.47026,0.4944,0.42057,0.43967,0.25465,1.49019,1.45491,1.41863,0.00083622,0.00083622,0.00083622
18,612.826,1.37105,1.63023,1.4698,0.54543,0.41328,0.4488,0.26064,1.47285,1.41636,1.41447,0.000816514,0.000816514,0.000816514
19,646.354,1.35967,1.62511,1.45805,0.50769,0.44716,0.45701,0.2691,1.45146,1.41378,1.39296,0.000795954,0.000795954,0.000795954
20,680.015,1.36876,1.63405,1.46092,0.49639,0.4274,0.43823,0.25811,1.47389,1.49178,1.42302,0.000774596,0.000774596,0.000774596
21,713.802,1.35677,1.62404,1.46522,0.53499,0.44089,0.46058,0.27022,1.45299,1.42593,1.40393,0.0007525,0.0007525,0.0007525
22,747.279,1.35593,1.61003,1.45163,0.54523,0.43109,0.46439,0.2744,1.4499,1.38574,1.38917,0.000729725,0.000729725,0.000729725
23,780.997,1.34266,1.60839,1.44577,0.53766,0.42919,0.4527,0.2666,1.44587,1.38001,1.39162,0.000706335,0.000706335,0.000706335
24,814.557,1.33755,1.59612,1.44037,0.51148,0.43963,0.45536,0.26819,1.46049,1.38682,1.40205,0.000682392,0.000682392,0.000682392
25,848.068,1.34229,1.58907,1.43505,0.53791,0.42908,0.46797,0.27651,1.4328,1.35113,1.3801,0.000657963,0.000657963,0.000657963
26,881.518,1.33076,1.58243,1.43818,0.55665,0.42162,0.46861,0.27898,1.42753,1.35656,1.37526,0.000633115,0.000633115,0.000633115
27,915.094,1.32835,1.58216,1.4357,0.51193,0.45195,0.46442,0.27731,1.40169,1.3484,1.36359,0.000607916,0.000607916,0.000607916
28,948.71,1.32315,1.55788,1.4289,0.55945,0.44074,0.47634,0.28068,1.43916,1.36541,1.38349,0.000582435,0.000582435,0.000582435
29,981.941,1.32342,1.55571,1.42929,0.5518,0.46339,0.4838,0.28988,1.40648,1.32672,1.35714,0.000556742,0.000556742,0.000556742
30,1015.29,1.3152,1.53877,1.42516,0.56482,0.44943,0.48513,0.29419,1.38516,1.31386,1.35246,0.000530906,0.000530906,0.000530906
