epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.7623,1.63561,2.98364,1.79902,0.43211,0.19844,0.16104,0.06133,2.05356,2.89714,2.10356,0.000199385,0.000199385,0.0802609
2,107.391,1.59808,2.46846,1.76766,0.30662,0.2659,0.20711,0.09555,1.9187,2.60897,1.92311,0.000399232,0.000399232,0.0604608
3,154.988,1.59477,2.37419,1.76785,0.40105,0.29584,0.2713,0.12106,1.91459,2.10696,1.89477,0.00059847,0.00059847,0.04066
4,202.566,1.57968,2.3204,1.76258,0.29909,0.28363,0.22188,0.10089,1.87535,2.51492,1.89819,0.000796642,0.000796642,0.0208582
5,249.783,1.57933,2.26567,1.74903,0.37176,0.30768,0.26221,0.11593,1.86783,2.18613,1.87298,0.000993294,0.000993294,0.00105483
6,296.199,1.56132,2.23526,1.72917,0.37985,0.3116,0.2852,0.14112,1.76376,2.12735,1.80247,0.000990489,0.000990489,0.000990489
7,342.734,1.54215,2.18242,1.72013,0.40715,0.3055,0.29517,0.14171,1.75197,1.99667,1.79789,0.000986323,0.000986323,0.000986323
8,388.945,1.52904,2.1523,1.70852,0.41612,0.33838,0.33061,0.16752,1.71773,1.83466,1.72863,0.000981415,0.000981415,0.000981415
9,435.281,1.5065,2.12311,1.69435,0.40083,0.33074,0.31502,0.16147,1.69437,1.91454,1.71922,0.000975773,0.000975773,0.000975773
10,481.79,1.49739,2.09334,1.68686,0.40866,0.345,0.32395,0.16523,1.70592,1.88602,1.71655,0.000969405,0.000969405,0.000969405
11,528.373,1.47662,2.06137,1.66952,0.43368,0.34422,0.34248,0.17895,1.68402,1.81292,1.71792,0.00096232,0.00096232,0.00096232
12,574.556,1.47221,2.05823,1.66195,0.4241,0.37486,0.35752,0.19163,1.62092,1.76936,1.65764,0.000954531,0.000954531,0.000954531
13,621.145,1.47261,2.02982,1.66181,0.43154,0.36285,0.35014,0.18751,1.62739,1.76086,1.65178,0.000946048,0.000946048,0.000946048
14,667.566,1.45882,1.977,1.64135,0.43727,0.35556,0.35388,0.17421,1.775,1.81299,1.78217,0.000936886,0.000936886,0.000936886
15,713.654,1.4446,1.96378,1.63362,0.42944,0.36632,0.36483,0.1976,1.6036,1.71252,1.63246,0.000927057,0.000927057,0.000927057
16,758.661,1.42797,1.94254,1.62596,0.44568,0.3918,0.38392,0.2104,1.5805,1.67883,1.61642,0.000916577,0.000916577,0.000916577
17,803.707,1.43188,1.94343,1.62052,0.47574,0.39577,0.40126,0.21775,1.60676,1.6248,1.63989,0.000905463,0.000905463,0.000905463
18,848.62,1.41922,1.91579,1.61431,0.44092,0.3876,0.39239,0.22116,1.53401,1.68329,1.61672,0.000893732,0.000893732,0.000893732
19,893.666,1.41457,1.88674,1.60087,0.48199,0.38347,0.39722,0.22335,1.55734,1.65303,1.57519,0.000881401,0.000881401,0.000881401
20,938.615,1.40089,1.87148,1.59249,0.46397,0.40743,0.40754,0.22629,1.55388,1.61477,1.59182,0.00086849,0.00086849,0.00086849
21,983.676,1.41085,1.86982,1.60409,0.4703,0.39668,0.40359,0.22743,1.53867,1.63026,1.58557,0.000855018,0.000855018,0.000855018
22,1028.67,1.40013,1.86747,1.58805,0.5224,0.38726,0.40673,0.22455,1.55895,1.62446,1.6004,0.000841006,0.000841006,0.000841006
23,1073.73,1.39481,1.83698,1.58284,0.47406,0.41878,0.40948,0.22904,1.52519,1.59488,1.56246,0.000826477,0.000826477,0.000826477
24,1118.64,1.38447,1.82314,1.57579,0.45613,0.41698,0.41293,0.23666,1.50961,1.59889,1.55356,0.000811452,0.000811452,0.000811452
25,1163.61,1.37643,1.80621,1.57304,0.4852,0.40035,0.41288,0.23611,1.52003,1.58059,1.58076,0.000795954,0.000795954,0.000795954
26,1208.75,1.36898,1.79295,1.55998,0.47945,0.41051,0.41903,0.23887,1.49834,1.5571,1.54831,0.000780007,0.000780007,0.000780007
27,1253.9,1.37659,1.79785,1.56377,0.4792,0.42629,0.42781,0.23984,1.50661,1.57702,1.55497,0.000763637,0.000763637,0.000763637
28,1298.84,1.35579,1.75304,1.54955,0.49817,0.42476,0.44008,0.25004,1.51741,1.52948,1.56652,0.000746868,0.000746868,0.000746868
29,1343.86,1.35659,1.7583,1.54733,0.49189,0.44466,0.44223,0.25479,1.45254,1.54612,1.51954,0.000729725,0.000729725,0.000729725
30,1388.73,1.34266,1.75598,1.54431,0.51483,0.4139,0.43536,0.25167,1.47296,1.49585,1.5181,0.000712237,0.000712237,0.000712237
31,1433.56,1.34008,1.72995,1.53656,0.49677,0.43756,0.45259,0.26246,1.44873,1.50699,1.49997,0.000694428,0.000694428,0.000694428
32,1478.65,1.34436,1.72302,1.53298,0.52591,0.43345,0.45656,0.26172,1.48929,1.47585,1.54052,0.000676328,0.000676328,0.000676328
33,1523.56,1.32901,1.70945,1.52839,0.51568,0.44579,0.46423,0.27135,1.45138,1.4697,1.49347,0.000657963,0.000657963,0.000657963
34,1568.63,1.32242,1.70509,1.52782,0.54831,0.43036,0.4608,0.26883,1.44266,1.50526,1.50205,0.000639363,0.000639363,0.000639363
35,1613.55,1.32767,1.68022,1.52422,0.52314,0.46164,0.46987,0.27754,1.45916,1.44444,1.50703,0.000620555,0.000620555,0.000620555
36,1658.4,1.32415,1.67775,1.5227,0.54016,0.43975,0.46395,0.27054,1.45976,1.43365,1.49431,0.00060157,0.00060157,0.00060157
37,1703.34,1.32258,1.66818,1.51589,0.52278,0.45589,0.45874,0.26928,1.45703,1.47156,1.5047,0.000582435,0.000582435,0.000582435
38,1748.27,1.30722,1.65028,1.51264,0.51757,0.45689,0.4664,0.27474,1.46739,1.44529,1.51318,0.000563181,0.000563181,0.000563181
39,1793.25,1.30694,1.65354,1.5081,0.54062,0.44286,0.47015,0.27868,1.43866,1.44434,1.49884,0.000543837,0.000543837,0.000543837
40,1838.18,1.30012,1.62102,1.50266,0.53225,0.44385,0.47483,0.27818,1.44706,1.42962,1.5018,0.000524434,0.000524434,0.000524434
41,1883.06,1.28846,1.6196,1.49515,0.5252,0.4603,0.48072,0.28621,1.42406,1.41053,1.48153,0.000505,0.000505,0.000505
42,1928.01,1.2921,1.62788,1.48853,0.55228,0.44773,0.4844,0.28701,1.42745,1.40715,1.47962,0.000485566,0.000485566,0.000485566
43,1973.06,1.29493,1.62849,1.50013,0.5462,0.47664,0.49749,0.29518,1.4201,1.39729,1.475,0.000466163,0.000466163,0.000466163
44,2017.97,1.27325,1.57931,1.46665,0.5239,0.47649,0.4866,0.29252,1.41367,1.38653,1.46179,0.000446819,0.000446819,0.000446819
45,2063.02,1.27851,1.59621,1.47967,0.5519,0.46906,0.49575,0.29384,1.412,1.37229,1.47025,0.000427565,0.000427565,0.000427565
46,2108.06,1.27789,1.58813,1.48193,0.55856,0.46663,0.4894,0.29238,1.42362,1.41316,1.48122,0.00040843,0.00040843,0.00040843
47,2153.06,1.27319,1.56241,1.47328,0.56856,0.46048,0.5012,0.29755,1.42065,1.36801,1.4743,0.000389445,0.000389445,0.000389445
48,2198.03,1.26175,1.56695,1.47004,0.55828,0.46609,0.49265,0.29469,1.40548,1.37321,1.45079,0.000370637,0.000370637,0.000370637
49,2243.03,1.25795,1.5523,1.46606,0.54982,0.47045,0.49671,0.29952,1.41418,1.36098,1.46587,0.000352037,0.000352037,0.000352037
50,2287.86,1.24614,1.53914,1.45234,0.55549,0.47893,0.50593,0.30656,1.40978,1.36112,1.45931,0.000333672,0.000333672,0.000333672
51,2332.63,1.24941,1.54232,1.45541,0.54829,0.48308,0.50611,0.30901,1.38876,1.34756,1.44366,0.000315572,0.000315572,0.000315572
52,2377.5,1.24873,1.53347,1.45663,0.53571,0.48686,0.50347,0.30807,1.39234,1.34422,1.45322,0.000297763,0.000297763,0.000297763
53,2422.42,1.24045,1.52773,1.45703,0.53259,0.49727,0.50397,0.30394,1.39052,1.34512,1.45356,0.000280275,0.000280275,0.000280275
54,2467.36,1.23923,1.50132,1.44978,0.57445,0.47006,0.51072,0.30762,1.39547,1.33735,1.44992,0.000263132,0.000263132,0.000263132
55,2512.24,1.23011,1.50199,1.44201,0.55706,0.48404,0.51386,0.3117,1.39642,1.33394,1.45265,0.000246363,0.000246363,0.000246363
56,2557.28,1.2255,1.49032,1.43331,0.5417,0.50278,0.51349,0.31311,1.39262,1.33164,1.44862,0.000229993,0.000229993,0.000229993
