epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.0774,1.3742,4.12273,1.43468,0.0367,0.25804,0.03435,0.02238,1.06247,3.98338,1.19646,7.5e-05,7.5e-05,7.5e-05
2,24.6302,1.27688,4.03409,1.41301,0.03171,0.28399,0.03635,0.02398,1.035,3.96646,1.18187,0.000125313,0.000125313,0.000125313
3,26.1423,1.25264,3.99677,1.4066,0.02765,0.3269,0.04894,0.03147,0.99126,3.95076,1.16382,0.00014345,0.00014345,0.00014345
4,27.5941,1.14919,3.94258,1.34036,0.02451,0.32309,0.05594,0.03373,1.0013,3.94505,1.17753,0.000129413,0.000129413,0.000129413
5,29.0776,1.17813,3.90826,1.35966,0.02681,0.35368,0.06547,0.03894,1.00747,3.93713,1.18263,8.32e-05,8.32e-05,8.32e-05
